category,rank,scene_idx,patch_id,n_total,n_building,n_bridge
building,1,4830,TEST-0948_6557-006269665,164699,115983,0
building,2,9437,TEST-0750_6254-006921379,109749,108608,0
building,3,3221,TEST-0736_6251-006895628,117147,87362,0
building,4,3331,TEST-0742_6244-006912703,161034,86048,0
building,5,4324,TEST-0742_6243-006928721,132173,84780,0
bridge,1,8240,TEST-0736_6254-007104731,82100,0,41074
bridge,2,4715,TEST-0939_6566-005912021,80603,0,40551
bridge,3,2691,TEST-0938_6561-005959438,102039,0,30255
bridge,4,5696,TEST-0938_6561-005959417,75898,0,30128
bridge,5,1223,TEST-0736_6254-007104561,116430,0,25631
