region,gflops,cuda_ms,leaf_ops
Decoder Cross Attention,3304.977334272,1497.6044509999933,1302
Decoder Logits,1857.036484608,227.53903899999895,596
Decoder skip,1727.957827638,1591.9520479999885,9751
Encoder Cross Attention:,117.85276888,36.297268,333
Self Attention,46.591871804,15.661788999999995,556
Encoder Process data,34.732488002,21.347462999999973,232
Decoder pre processing,0.035651638,91.81727599999806,2528
encode,0.0,14.180325999999996,1
Compute grid config,0.0,0.0,0
Latents init,0.0,0.0,0
Cross Attention - Encoder,0.0,20.353548000000007,8
Decoder Cross attention,0.0,905.179613000002,152
geo pruning,0.0,2.6852840000000033,66
