op,flops,gflops,self_cuda_time_us,self_cpu_time_us,count
aten::addmm,320048065024,320.048065024,0,900.0659999999543,41
aten::mm,283543429120,283.54342912,0,515.5379999999932,31
aten::bmm,1384448000,1.384448,0,36.90799999999945,2
aten::mul,71226125,0.071226125,0,1088.9209999999057,201
aten::add,11407109,0.011407109,0,359.4910000000359,63
Compute grid config,0,0.0,0,50.59700000000004,1
encode,0,0.0,0,78.42199999999866,1
Latents init ,0,0.0,0,194.5599999999995,1
aten::unsqueeze,0,0.0,0,307.74900000005834,139
aten::as_strided,0,0.0,0,3936.6859999996695,9530
aten::expand,0,0.0,0,148.63899999996698,68
aten::linspace,0,0.0,0,105.80699999993374,36
aten::empty,0,0.0,0,8549.630000001504,4283
Unrecognized,0,0.0,0,965.0520000000029,3
cudaLaunchKernel,0,0.0,0,9483.476999999617,3109
aten::meshgrid,0,0.0,0,9.555000000000518,1
aten::view,0,0.0,0,512.5559999997213,1029
aten::flatten,0,0.0,0,12.932999999999765,2
aten::clone,0,0.0,0,64.8140000000792,26
aten::empty_like,0,0.0,0,81.31999999999607,59
aten::copy_,0,0.0,0,6979.165000000834,2792
aten::_unsafe_view,0,0.0,0,28.941999999964082,33
aten::stack,0,0.0,0,48.60400000007962,12
aten::cat,0,0.0,0,722.3089999999829,124
geo pruning,0,0.0,0,222.69300000000067,1
aten::select,0,0.0,0,11601.850000000268,6806
aten::detach,0,0.0,0,2.520999999999958,2
detach,0,0.0,0,5.230000000000018,2
aten::to,0,0.0,0,538.0020000003701,768
aten::_to_copy,0,0.0,0,1315.610000000123,717
aten::empty_strided,0,0.0,0,1973.0739999996572,730
cudaStreamIsCapturing,0,0.0,0,376.2750000000533,1388
cudaMemcpyAsync,0,0.0,0,20993.31099999858,5482
cudaStreamSynchronize,0,0.0,0,65027.81300000041,4118
aten::resolve_conj,0,0.0,0,0.765999999999849,1
aten::resolve_neg,0,0.0,0,0.2839999999998781,1
aten::arange,0,0.0,0,22.740999999999303,4
aten::resize_,0,0.0,0,288.4899999997656,2063
aten::lt,0,0.0,0,60.002000000011776,7
aten::slice,0,0.0,0,2690.4299999997293,1543
aten::clamp,0,0.0,0,75.99599999998122,9
geo pruning,0,0.0,0,0,1
"void at::native::vectorized_elementwise_kernel<2, at::native::(anonymous namespace)::launch_clamp_scalar(at::TensorIteratorBase&, c10::Scalar, c10::Scalar, at::native::detail::ClampLimits)::{lambda()#1}::operator()() const::{lambda()#4}::operator()() const::{lambda(long)#1}, std::array<char*, 2ul> >(int, at::native::(anonymous namespace)::launch_clamp_scalar(at::TensorIteratorBase&, c10::Scalar, c10::Scalar, at::native::detail::ClampLimits)::{lambda()#1}::operator()() const::{lambda()#4}::operator()() const::{lambda(long)#1}, std::array<char*, 2ul>)",0,0.0,0,0,9
aten::zeros_like,0,0.0,0,17.220000000043456,6
aten::zero_,0,0.0,0,22.783999999937578,12
aten::fill_,0,0.0,0,133.42200000009097,49
"void at::native::vectorized_elementwise_kernel<2, at::native::FillFunctor<long>, std::array<char*, 1ul> >(int, at::native::FillFunctor<long>, std::array<char*, 1ul>)",0,0.0,0,0,8
aten::where,0,0.0,0,65.6849999999938,7
"void at::native::vectorized_elementwise_kernel<2, at::native::(anonymous namespace)::where_kernel_impl(at::TensorIterator&)::{lambda()#1}::operator()() const::{lambda()#8}::operator()() const::{lambda(bool, long, long)#1}, std::array<char*, 4ul> >(int, at::native::(anonymous namespace)::where_kernel_impl(at::TensorIterator&)::{lambda()#1}::operator()() const::{lambda()#8}::operator()() const::{lambda(bool, long, long)#1}, std::array<char*, 4ul>)",0,0.0,0,0,1
"void at::native::vectorized_elementwise_kernel<4, at::native::FillFunctor<float>, std::array<char*, 1ul> >(int, at::native::FillFunctor<float>, std::array<char*, 1ul>)",0,0.0,0,0,38
aten::bitwise_not,0,0.0,0,84.46200000005979,12
"void at::native::vectorized_elementwise_kernel<4, at::native::bitwise_not_kernel_cuda(at::TensorIteratorBase&)::{lambda(bool)#1}, std::array<char*, 2ul> >(int, at::native::bitwise_not_kernel_cuda(at::TensorIteratorBase&)::{lambda(bool)#1}, std::array<char*, 2ul>)",0,0.0,0,0,12
aten::masked_fill,0,0.0,0,14.416999999995369,2
Memcpy DtoD (Device -> Device),0,0.0,0,0,1364
aten::masked_fill_,0,0.0,0,69.62300000008122,9
"void at::native::vectorized_elementwise_kernel<4, at::native::(anonymous namespace)::masked_fill_kernel(at::TensorIterator&, c10::Scalar const&)::{lambda()#1}::operator()() const::{lambda()#7}::operator()() const::{lambda(float, bool)#1}, std::array<char*, 3ul> >(int, at::native::(anonymous namespace)::masked_fill_kernel(at::TensorIterator&, c10::Scalar const&)::{lambda()#1}::operator()() const::{lambda()#7}::operator()() const::{lambda(float, bool)#1}, std::array<char*, 3ul>)",0,0.0,0,0,5
aten::reshape,0,0.0,0,764.768000000236,802
aten::gather,0,0.0,0,108.76500000002147,10
"void at::native::vectorized_gather_kernel<16, long>(char*, char*, long*, int, long, long, long, long, bool)",0,0.0,0,0,7
aten::__or__,0,0.0,0,7.642000000001644,5
aten::bitwise_or,0,0.0,0,39.43499999996493,5
Cross Attention - Encoder,0,0.0,0,93.9459999999981,1
aten::randperm,0,0.0,0,3629.576000000104,1354
aten::scalar_tensor,0,0.0,0,376.04400000010446,677
aten::random_,0,0.0,0,12.271999999999935,1
cudaStreamGetCaptureInfo_v2,0,0.0,0,2.1270000000004075,4
cudaPeekAtLastError,0,0.0,0,163.40599999953884,4112
aten::index,0,0.0,0,3224.0840000003027,714
Encoder Process data,0,0.0,0,547.0080000000021,1
aten::sub,0,0.0,0,201.0230000000156,36
"void at::native::_scatter_gather_elementwise_kernel<128, 8, at::native::_cuda_scatter_gather_internal_kernel<false, at::native::OpaqueType<4>, long>::operator()<at::native::TensorAssign>(at::TensorIterator&, long, long, long, at::native::TensorAssign const&)::{lambda(int)#1}>(int, at::native::_cuda_scatter_gather_internal_kernel<false, at::native::OpaqueType<4>, long>::operator()<at::native::TensorAssign>(at::TensorIterator&, long, long, long, at::native::TensorAssign const&)::{lambda(int)#1})",0,0.0,0,0,3
"void at::native::unrolled_elementwise_kernel<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda()#3}::operator()() const::{lambda()#11}::operator()() const::{lambda(bool)#1}, std::array<char*, 2ul>, 4, TrivialOffsetCalculator<1, unsigned int>, TrivialOffsetCalculator<1, unsigned int>, at::native::memory::LoadWithCast<1>, at::native::memory::StoreWithCast<1> >(int, at::native::direct_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda()#3}::operator()() const::{lambda()#11}::operator()() const::{lambda(bool)#1}, std::array<char*, 2ul>, TrivialOffsetCalculator<1, unsigned int>, TrivialOffsetCalculator<1, unsigned int>, at::native::memory::LoadWithCast<1>, at::native::memory::StoreWithCast<1>)",0,0.0,0,0,3
"void at::native::vectorized_elementwise_kernel<4, at::native::BinaryFunctor<bool, bool, bool, at::native::BitwiseOrFunctor<bool> >, std::array<char*, 3ul> >(int, at::native::BinaryFunctor<bool, bool, bool, at::native::BitwiseOrFunctor<bool> >, std::array<char*, 3ul>)",0,0.0,0,0,1
Cross Attention - Encoder,0,0.0,0,0,1
"void (anonymous namespace)::elementwise_kernel_with_index<int, at::native::arange_cuda_out(c10::Scalar const&, c10::Scalar const&, c10::Scalar const&, at::Tensor&)::{lambda()#1}::operator()() const::{lambda()#4}::operator()() const::{lambda(long)#1}>(int, at::native::arange_cuda_out(c10::Scalar const&, c10::Scalar const&, c10::Scalar const&, at::Tensor&)::{lambda()#1}::operator()() const::{lambda()#4}::operator()() const::{lambda(long)#1}, function_traits<at::native::arange_cuda_out(c10::Scalar const&, c10::Scalar const&, c10::Scalar const&, at::Tensor&)::{lambda()#1}::operator()() const::{lambda()#4}::operator()() const::{lambda(long)#1}>::result_type*)",0,0.0,0,0,1
