op,flops,gflops,self_cuda_time_us,self_cpu_time_us,count
aten::addmm,3475704774656,3475.704774656,0,5769.650000000227,266
aten::mm,3126316761088,3126.316761088,0,1959.2669999996542,117
aten::bmm,1638400000,1.6384,0,39.44800000000214,2
aten::mul,201164032,0.201164032,0,3478.3969999990672,512
aten::add,25671034,0.025671034,0,1326.5759999998886,188
Compute grid config,0,0.0,0,56.960999999999984,1
encode,0,0.0,0,90.34499999999753,1
Latents init ,0,0.0,0,238.6470000000004,1
aten::unsqueeze,0,0.0,0,1800.7070000010208,804
aten::as_strided,0,0.0,0,2388.4260000000327,4049
aten::expand,0,0.0,0,875.1699999995211,284
aten::linspace,0,0.0,0,898.550000000737,336
aten::empty,0,0.0,0,4846.276999999995,1483
Unrecognized,0,0.0,0,640.7540000000549,2
cudaLaunchKernel,0,0.0,0,19391.7409999997,5229
aten::meshgrid,0,0.0,0,11.079999999999927,1
aten::view,0,0.0,0,2501.09399999794,2411
aten::flatten,0,0.0,0,13.694999999999936,2
aten::clone,0,0.0,0,628.3369999985812,225
aten::empty_like,0,0.0,0,372.19500000095854,256
aten::copy_,0,0.0,0,3072.6890000003395,639
aten::_unsafe_view,0,0.0,0,230.07299999998122,283
aten::stack,0,0.0,0,498.03700000051595,111
aten::cat,0,0.0,0,3707.1999999999216,494
geo pruning,0,0.0,0,253.59799999999882,1
aten::select,0,0.0,0,1275.719999999219,499
aten::detach,0,0.0,0,2.719000000000051,2
detach,0,0.0,0,5.3689999999999145,2
aten::to,0,0.0,0,455.3130000006538,532
aten::_to_copy,0,0.0,0,1260.7470000004023,360
aten::empty_strided,0,0.0,0,1772.790000000336,447
cudaStreamIsCapturing,0,0.0,0,97.61800000011431,116
cudaMemcpyAsync,0,0.0,0,2698.2759999992904,421
cudaStreamSynchronize,0,0.0,0,472839.5809999999,336
aten::resolve_conj,0,0.0,0,0.6829999999999927,1
aten::resolve_neg,0,0.0,0,0.3990000000001146,1
aten::arange,0,0.0,0,26.744000000000597,4
aten::resize_,0,0.0,0,348.78799999959574,126
aten::lt,0,0.0,0,468.5849999998111,57
aten::slice,0,0.0,0,1315.4920000000786,568
geo pruning,0,0.0,0,0,1
"void at::native::elementwise_kernel<128, 2, at::native::gpu_kernel_impl_nocast<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda()#3}::operator()() const::{lambda()#4}::operator()() const::{lambda(long)#1}>(at::TensorIteratorBase&, at::native::direct_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda()#3}::operator()() const::{lambda()#4}::operator()() const::{lambda(long)#1} const&)::{lambda(int)#1}>(int, at::native::gpu_kernel_impl_nocast<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda()#3}::operator()() const::{lambda()#4}::operator()() const::{lambda(long)#1}>(at::TensorIteratorBase&, at::native::direct_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda()#3}::operator()() const::{lambda()#4}::operator()() const::{lambda(long)#1} const&)::{lambda(int)#1})",0,0.0,0,0,1
