region,gflops,cuda_ms,leaf_ops
Decoder Cross Attention,3304.977334272,1509.6962950000013,1428
Decoder Logits,1857.036776194,228.80863800000142,656
Decoder skip,1062.268305462,1289.2915590000032,9125
Self Attention,54.832070028,19.443323000000053,889
Encoder Cross Attention:,8.9558592,6.2667239999999875,77
Encoder Process data,1.710960002,21.623570000000022,220
Decoder pre processing,0.035360052,77.50962999999989,2506
Decoder Cross attention,0.0,791.6133649999992,174
geo pruning,0.0,0.6045880000000007,45
Latents init,0.0,0.0,0
encode,0.0,3.742434000000014,1
Compute grid config,0.0,0.0,0
Cross Attention - Encoder,0.0,25.74492899999998,28
